imie,nazwisko,miasto,ulica,nr_domu,nr_mieszkania
Bartek,Nowak,Bydgoszcz,Stara,39,89
Kamil,Jakios,Chelmno,Nowsza,36,23
Amelia,Nijak,Plonsk,Starsza,91,68
Bartek,Nijak,Warszawa,Starsza,43,100
Bartek,Nowak,Bydgoszcz,Stara,97,33
Kamil,Jakios,Chelmno,Nowsza,54,4
Amelia,Nijak,Plonsk,Starsza,42,29
Amelia,Jakios,Bydgoszcz,Nowa,10,144
Amelia,Nijak,Warszawa,Stara,16,112
Jan,Abac,Warszawa,Nowa,28,149
Bartek,Nowak,Bydgoszcz,Stara,88,102
Kamil,Jakios,Chelmno,Nowsza,52,109
Amelia,Nijak,Plonsk,Starsza,1,18
Kamil,Jakios,Chelmno,Starsza,66,46
Bartek,Nowak,Bydgoszcz,Stara,47,93
Kamil,Jakios,Chelmno,Nowsza,72,34
Amelia,Nijak,Plonsk,Starsza,59,86
Jan,Nowak,Warszawa,Nowa,56,52
Jan,Nowak,Warszawa,Nowsza,45,140
Jan,Abac,Warszawa,Nowa,12,81
Bartek,Nowak,Bydgoszcz,Stara,56,96
Kamil,Jakios,Chelmno,Nowsza,71,20
Amelia,Nijak,Plonsk,Starsza,74,103
Amelia,Jakios,Warszawa,Nowsza,42,101
Bartek,Nowak,Bydgoszcz,Stara,25,143
Kamil,Jakios,Chelmno,Nowsza,54,16
Amelia,Nijak,Plonsk,Starsza,90,148
Amelia,Abac,Warszawa,Nowa,82,30
Amelia,Nijak,Warszawa,Stara,93,134
Jan,Abac,Warszawa,Nowa,46,148
Bartek,Nowak,Bydgoszcz,Stara,14,74
Kamil,Jakios,Chelmno,Nowsza,47,124
Amelia,Nijak,Plonsk,Starsza,71,3
Bartek,Nowak,Warszawa,Nowsza,30,57
Bartek,Nowak,Bydgoszcz,Stara,24,8
Kamil,Jakios,Chelmno,Nowsza,75,56
Amelia,Nijak,Plonsk,Starsza,14,147
Amelia,Abac,Bydgoszcz,Nowa,37,14
Kamil,Abac,Warszawa,Stara,27,83
Jan,Abac,Warszawa,Nowa,5,29
Bartek,Nowak,Bydgoszcz,Stara,59,85
Kamil,Jakios,Chelmno,Nowsza,68,53
Amelia,Nijak,Plonsk,Starsza,98,52
Kamil,Jakios,Warszawa,Nowsza,24,65
Bartek,Nowak,Bydgoszcz,Stara,57,122
Kamil,Jakios,Chelmno,Nowsza,14,84
Amelia,Nijak,Plonsk,Starsza,70,22
Kamil,Nijak,Plonsk,Nowsza,97,59
Jan,Nowak,Bydgoszcz,Nowa,82,148
Jan,Abac,Warszawa,Nowa,66,94
Bartek,Nowak,Bydgoszcz,Stara,6,34
Kamil,Jakios,Chelmno,Nowsza,12,66
Amelia,Nijak,Plonsk,Starsza,38,7
Jan,Nijak,Chelmno,Stara,31,64
Bartek,Nowak,Bydgoszcz,Stara,69,139
Kamil,Jakios,Chelmno,Nowsza,27,130
Amelia,Nijak,Plonsk,Starsza,29,94
Kamil,Jakios,Plonsk,Nowa,87,111
Bartek,Nijak,Bydgoszcz,Nowa,32,97
Jan,Abac,Warszawa,Nowa,53,71
Bartek,Nowak,Bydgoszcz,Stara,2,35
Kamil,Jakios,Chelmno,Nowsza,45,96
Amelia,Nijak,Plonsk,Starsza,55,47
Amelia,Abac,Bydgoszcz,Stara,51,23
Bartek,Nowak,Bydgoszcz,Stara,68,131
Kamil,Jakios,Chelmno,Nowsza,42,58
Amelia,Nijak,Plonsk,Starsza,29,136
Kamil,Nijak,Plonsk,Nowa,63,18
Jan,Nowak,Warszawa,Nowsza,79,22
Jan,Abac,Warszawa,Nowa,17,121
Bartek,Nowak,Bydgoszcz,Stara,26,117
Kamil,Jakios,Chelmno,Nowsza,44,61
Amelia,Nijak,Plonsk,Starsza,89,97
Jan,Nowak,Warszawa,Stara,92,26
Bartek,Nowak,Bydgoszcz,Stara,8,39
Kamil,Jakios,Chelmno,Nowsza,97,123
Amelia,Nijak,Plonsk,Starsza,57,28
Jan,Nowak,Bydgoszcz,Stara,1,24
Amelia,Nijak,Plonsk,Nowa,71,80
Jan,Abac,Warszawa,Nowa,27,18
Bartek,Nowak,Bydgoszcz,Stara,89,107
Kamil,Jakios,Chelmno,Nowsza,56,49
Amelia,Nijak,Plonsk,Starsza,60,120
Bartek,Jakios,Plonsk,Nowa,40,26
Bartek,Nowak,Bydgoszcz,Stara,9,28
Kamil,Jakios,Chelmno,Nowsza,99,94
Amelia,Nijak,Plonsk,Starsza,100,147
Bartek,Jakios,Plonsk,Nowsza,55,149
Amelia,Nijak,Chelmno,Starsza,94,132
Jan,Abac,Warszawa,Nowa,83,97
Bartek,Nowak,Bydgoszcz,Stara,83,80
Kamil,Jakios,Chelmno,Nowsza,97,47
Amelia,Nijak,Plonsk,Starsza,59,36
Jan,Nijak,Chelmno,Stara,32,69
Bartek,Nowak,Bydgoszcz,Stara,68,18
Kamil,Jakios,Chelmno,Nowsza,69,80
Amelia,Nijak,Plonsk,Starsza,24,108
Kamil,Nijak,Plonsk,Nowa,99,52
Kamil,Nowak,Plonsk,Stara,49,132
Jan,Abac,Warszawa,Nowa,40,134
Bartek,Nowak,Bydgoszcz,Stara,3,40
Kamil,Jakios,Chelmno,Nowsza,4,74
Amelia,Nijak,Plonsk,Starsza,67,144
Kamil,Nowak,Plonsk,Nowsza,84,84
Bartek,Nowak,Bydgoszcz,Stara,52,101
Kamil,Jakios,Chelmno,Nowsza,27,36
Amelia,Nijak,Plonsk,Starsza,52,69
Jan,Nowak,Plonsk,Starsza,6,35
Kamil,Abac,Plonsk,Nowsza,43,34
Jan,Abac,Warszawa,Nowa,83,126
Bartek,Nowak,Bydgoszcz,Stara,65,93
Kamil,Jakios,Chelmno,Nowsza,91,79
Amelia,Nijak,Plonsk,Starsza,82,32
Jan,Abac,Bydgoszcz,Starsza,49,43
Bartek,Nowak,Bydgoszcz,Stara,63,29
Kamil,Jakios,Chelmno,Nowsza,45,116
Amelia,Nijak,Plonsk,Starsza,75,97
Amelia,Jakios,Bydgoszcz,Stara,75,148
Kamil,Abac,Warszawa,Starsza,1,150
Jan,Abac,Warszawa,Nowa,65,126
Bartek,Nowak,Bydgoszcz,Stara,36,134
Kamil,Jakios,Chelmno,Nowsza,94,39
Amelia,Nijak,Plonsk,Starsza,11,61
Jan,Jakios,Bydgoszcz,Nowa,44,112
Bartek,Nowak,Bydgoszcz,Stara,32,92
Kamil,Jakios,Chelmno,Nowsza,64,61
Amelia,Nijak,Plonsk,Starsza,77,133
Jan,Nijak,Chelmno,Starsza,45,69
Bartek,Nijak,Warszawa,Nowsza,22,77
Jan,Abac,Warszawa,Nowa,74,105
Bartek,Nowak,Bydgoszcz,Stara,60,14
Kamil,Jakios,Chelmno,Nowsza,22,132
Amelia,Nijak,Plonsk,Starsza,26,99
Amelia,Abac,Bydgoszcz,Starsza,81,82
Bartek,Nowak,Bydgoszcz,Stara,46,129
Kamil,Jakios,Chelmno,Nowsza,58,46
Amelia,Nijak,Plonsk,Starsza,64,95
Kamil,Nowak,Plonsk,Nowa,19,34
Jan,Jakios,Warszawa,Stara,17,102
Jan,Abac,Warszawa,Nowa,13,31
Bartek,Nowak,Bydgoszcz,Stara,10,123
Kamil,Jakios,Chelmno,Nowsza,88,92
Amelia,Nijak,Plonsk,Starsza,70,25
Amelia,Abac,Warszawa,Nowsza,10,131
Bartek,Nowak,Bydgoszcz,Stara,2,38
Kamil,Jakios,Chelmno,Nowsza,77,133
Amelia,Nijak,Plonsk,Starsza,48,103
Jan,Jakios,Warszawa,Starsza,95,130
Amelia,Nowak,Plonsk,Nowa,86,137
Jan,Abac,Warszawa,Nowa,91,146
Bartek,Nowak,Bydgoszcz,Stara,74,11
Kamil,Jakios,Chelmno,Nowsza,100,24
Amelia,Nijak,Plonsk,Starsza,18,18
Kamil,Nijak,Warszawa,Nowsza,29,76
Bartek,Nowak,Bydgoszcz,Stara,80,109
Kamil,Jakios,Chelmno,Nowsza,49,16
Amelia,Nijak,Plonsk,Starsza,96,50
Bartek,Jakios,Warszawa,Starsza,33,112
Amelia,Nijak,Plonsk,Stara,39,93
Jan,Abac,Warszawa,Nowa,9,84
Bartek,Nowak,Bydgoszcz,Stara,17,34
Kamil,Jakios,Chelmno,Nowsza,99,81
Amelia,Nijak,Plonsk,Starsza,4,138
Bartek,Nijak,Plonsk,Nowa,58,111
Bartek,Nowak,Bydgoszcz,Stara,91,51
Kamil,Jakios,Chelmno,Nowsza,10,116
Amelia,Nijak,Plonsk,Starsza,30,40
Kamil,Nijak,Warszawa,Stara,75,42
Bartek,Jakios,Plonsk,Starsza,45,137
Jan,Abac,Warszawa,Nowa,82,71
Bartek,Nowak,Bydgoszcz,Stara,63,88
Kamil,Jakios,Chelmno,Nowsza,84,117
Amelia,Nijak,Plonsk,Starsza,32,2
Kamil,Nowak,Warszawa,Nowa,2,94
Bartek,Nowak,Bydgoszcz,Stara,35,17
Kamil,Jakios,Chelmno,Nowsza,72,121
Amelia,Nijak,Plonsk,Starsza,28,85
Bartek,Nowak,Chelmno,Stara,62,62
Amelia,Nijak,Chelmno,Starsza,22,122
Jan,Abac,Warszawa,Nowa,9,88
Bartek,Nowak,Bydgoszcz,Stara,11,9
Kamil,Jakios,Chelmno,Nowsza,5,147
Amelia,Nijak,Plonsk,Starsza,9,25
Jan,Nijak,Warszawa,Stara,65,20
Bartek,Nowak,Bydgoszcz,Stara,45,83
Kamil,Jakios,Chelmno,Nowsza,2,41
Amelia,Nijak,Plonsk,Starsza,95,99
Amelia,Nijak,Chelmno,Nowsza,61,2
Jan,Nowak,Warszawa,Stara,9,108
Jan,Abac,Warszawa,Nowa,76,147
Bartek,Nowak,Bydgoszcz,Stara,25,73
Kamil,Jakios,Chelmno,Nowsza,79,30
Amelia,Nijak,Plonsk,Starsza,83,20
Jan,Nijak,Plonsk,Starsza,89,70
Bartek,Nowak,Bydgoszcz,Stara,35,20
Kamil,Jakios,Chelmno,Nowsza,13,58
Amelia,Nijak,Plonsk,Starsza,15,32
Amelia,Jakios,Chelmno,Nowsza,89,139
Amelia,Nijak,Bydgoszcz,Stara,97,44
Jan,Abac,Warszawa,Nowa,48,42
Bartek,Nowak,Bydgoszcz,Stara,44,126
Kamil,Jakios,Chelmno,Nowsza,45,96
Amelia,Nijak,Plonsk,Starsza,42,13
Kamil,Jakios,Plonsk,Starsza,79,5
Bartek,Nowak,Bydgoszcz,Stara,98,58
Kamil,Jakios,Chelmno,Nowsza,36,14
Amelia,Nijak,Plonsk,Starsza,21,80
Bartek,Nijak,Plonsk,Nowsza,54,123
Amelia,Jakios,Warszawa,Nowsza,62,40
Jan,Abac,Warszawa,Nowa,17,55
Bartek,Nowak,Bydgoszcz,Stara,45,98
Kamil,Jakios,Chelmno,Nowsza,58,78
Amelia,Nijak,Plonsk,Starsza,36,9
Bartek,Nijak,Bydgoszcz,Stara,41,55
Bartek,Nowak,Bydgoszcz,Stara,41,150
Kamil,Jakios,Chelmno,Nowsza,72,73
Amelia,Nijak,Plonsk,Starsza,80,51
Amelia,Nijak,Warszawa,Nowsza,55,14
Amelia,Abac,Chelmno,Nowa,12,132
Jan,Abac,Warszawa,Nowa,71,46
Bartek,Nowak,Bydgoszcz,Stara,1,102
Kamil,Jakios,Chelmno,Nowsza,42,2
Amelia,Nijak,Plonsk,Starsza,17,5
Amelia,Abac,Plonsk,Stara,66,86
Bartek,Nowak,Bydgoszcz,Stara,92,100
Kamil,Jakios,Chelmno,Nowsza,20,63
Amelia,Nijak,Plonsk,Starsza,6,35
Jan,Nowak,Bydgoszcz,Stara,6,72
Jan,Nijak,Warszawa,Nowsza,37,10
Jan,Abac,Warszawa,Nowa,79,123
Bartek,Nowak,Bydgoszcz,Stara,23,71
Kamil,Jakios,Chelmno,Nowsza,40,4
Amelia,Nijak,Plonsk,Starsza,66,123
Amelia,Nowak,Chelmno,Starsza,44,99
Bartek,Nowak,Bydgoszcz,Stara,90,144
Kamil,Jakios,Chelmno,Nowsza,47,147
Amelia,Nijak,Plonsk,Starsza,38,110
Jan,Nowak,Bydgoszcz,Nowsza,44,99
Kamil,Nowak,Plonsk,Nowsza,20,16
Jan,Abac,Warszawa,Nowa,66,80
Bartek,Nowak,Bydgoszcz,Stara,23,41
Kamil,Jakios,Chelmno,Nowsza,7,68
Amelia,Nijak,Plonsk,Starsza,70,101
Bartek,Jakios,Warszawa,Nowsza,100,50
Bartek,Nowak,Bydgoszcz,Stara,55,49
Kamil,Jakios,Chelmno,Nowsza,39,64
Amelia,Nijak,Plonsk,Starsza,3,70
Jan,Nijak,Chelmno,Starsza,9,19
Bartek,Jakios,Plonsk,Nowsza,67,146
Jan,Abac,Warszawa,Nowa,29,76
Bartek,Nowak,Bydgoszcz,Stara,60,53
Kamil,Jakios,Chelmno,Nowsza,86,12
Amelia,Nijak,Plonsk,Starsza,58,70
Amelia,Nijak,Warszawa,Stara,34,68
Bartek,Nowak,Bydgoszcz,Stara,8,19
Kamil,Jakios,Chelmno,Nowsza,10,128
Amelia,Nijak,Plonsk,Starsza,8,48
Amelia,Nowak,Warszawa,Stara,50,97
Jan,Jakios,Bydgoszcz,Nowa,25,58
Jan,Abac,Warszawa,Nowa,38,100
Bartek,Nowak,Bydgoszcz,Stara,8,85
Kamil,Jakios,Chelmno,Nowsza,76,71
Amelia,Nijak,Plonsk,Starsza,52,38
Bartek,Nijak,Bydgoszcz,Starsza,7,98
Bartek,Nowak,Bydgoszcz,Stara,74,30
Kamil,Jakios,Chelmno,Nowsza,54,45
Amelia,Nijak,Plonsk,Starsza,51,104
Jan,Nijak,Bydgoszcz,Stara,64,21
Amelia,Nowak,Bydgoszcz,Nowa,82,129
Jan,Abac,Warszawa,Nowa,72,115
Bartek,Nowak,Bydgoszcz,Stara,22,100
Kamil,Jakios,Chelmno,Nowsza,99,33
Amelia,Nijak,Plonsk,Starsza,24,127
Amelia,Nowak,Chelmno,Stara,28,34
Bartek,Nowak,Bydgoszcz,Stara,100,136
Kamil,Jakios,Chelmno,Nowsza,17,77
Amelia,Nijak,Plonsk,Starsza,4,92
Bartek,Nijak,Chelmno,Stara,48,145
Kamil,Abac,Bydgoszcz,Nowsza,31,71
Jan,Abac,Warszawa,Nowa,25,120
Bartek,Nowak,Bydgoszcz,Stara,52,49
Kamil,Jakios,Chelmno,Nowsza,100,25
Amelia,Nijak,Plonsk,Starsza,63,76
Jan,Nijak,Bydgoszcz,Nowa,20,94
Bartek,Nowak,Bydgoszcz,Stara,51,46
Kamil,Jakios,Chelmno,Nowsza,17,81
Amelia,Nijak,Plonsk,Starsza,91,3
Bartek,Jakios,Warszawa,Starsza,73,15
Kamil,Nowak,Warszawa,Nowa,13,116
Jan,Abac,Warszawa,Nowa,57,25
Bartek,Nowak,Bydgoszcz,Stara,56,30
Kamil,Jakios,Chelmno,Nowsza,97,141
Amelia,Nijak,Plonsk,Starsza,25,75
Jan,Nijak,Chelmno,Starsza,15,88
Bartek,Nowak,Bydgoszcz,Stara,90,75
Kamil,Jakios,Chelmno,Nowsza,62,149
Amelia,Nijak,Plonsk,Starsza,87,37
Kamil,Jakios,Chelmno,Stara,56,12
Jan,Abac,Plonsk,Starsza,85,49
Jan,Abac,Warszawa,Nowa,27,24
Bartek,Nowak,Bydgoszcz,Stara,89,99
Kamil,Jakios,Chelmno,Nowsza,35,11
Amelia,Nijak,Plonsk,Starsza,93,77
Jan,Jakios,Warszawa,Starsza,26,22
Bartek,Nowak,Bydgoszcz,Stara,81,20
Kamil,Jakios,Chelmno,Nowsza,89,68
Amelia,Nijak,Plonsk,Starsza,5,94
Bartek,Jakios,Chelmno,Nowa,60,96
Kamil,Nowak,Chelmno,Nowsza,3,111
Jan,Abac,Warszawa,Nowa,19,96
Bartek,Nowak,Bydgoszcz,Stara,11,91
Kamil,Jakios,Chelmno,Nowsza,51,62
Amelia,Nijak,Plonsk,Starsza,78,80
Amelia,Abac,Chelmno,Nowsza,62,15
Bartek,Nowak,Bydgoszcz,Stara,90,90
Kamil,Jakios,Chelmno,Nowsza,70,123
Amelia,Nijak,Plonsk,Starsza,95,41
Jan,Nowak,Bydgoszcz,Nowa,49,149
Jan,Nijak,Bydgoszcz,Stara,84,26
Jan,Abac,Warszawa,Nowa,4,127
Bartek,Nowak,Bydgoszcz,Stara,4,122
Kamil,Jakios,Chelmno,Nowsza,75,103
Amelia,Nijak,Plonsk,Starsza,98,123
Jan,Abac,Plonsk,Stara,49,148
Bartek,Nowak,Bydgoszcz,Stara,27,51
Kamil,Jakios,Chelmno,Nowsza,44,1
Amelia,Nijak,Plonsk,Starsza,75,27
Kamil,Abac,Warszawa,Nowa,49,113
Bartek,Abac,Chelmno,Stara,18,141
Jan,Abac,Warszawa,Nowa,31,36
Bartek,Nowak,Bydgoszcz,Stara,19,89
Kamil,Jakios,Chelmno,Nowsza,32,20
Amelia,Nijak,Plonsk,Starsza,82,47
Amelia,Nowak,Plonsk,Nowa,89,4
Bartek,Nowak,Bydgoszcz,Stara,31,100
Kamil,Jakios,Chelmno,Nowsza,78,135
Amelia,Nijak,Plonsk,Starsza,82,141
Amelia,Nowak,Plonsk,Nowsza,52,14
Amelia,Nijak,Plonsk,Nowsza,39,16
Jan,Abac,Warszawa,Nowa,32,125
Bartek,Nowak,Bydgoszcz,Stara,57,69
Kamil,Jakios,Chelmno,Nowsza,7,18
Amelia,Nijak,Plonsk,Starsza,7,68
Bartek,Nowak,Plonsk,Stara,4,118
Bartek,Nowak,Bydgoszcz,Stara,34,106
Kamil,Jakios,Chelmno,Nowsza,96,39
Amelia,Nijak,Plonsk,Starsza,32,131
Bartek,Nijak,Plonsk,Starsza,4,149
Bartek,Jakios,Warszawa,Stara,60,83
Jan,Abac,Warszawa,Nowa,50,15
Bartek,Nowak,Bydgoszcz,Stara,4,122
Kamil,Jakios,Chelmno,Nowsza,70,58
Amelia,Nijak,Plonsk,Starsza,8,101
Kamil,Jakios,Chelmno,Starsza,27,15
Bartek,Nowak,Bydgoszcz,Stara,83,43
Kamil,Jakios,Chelmno,Nowsza,4,96
Amelia,Nijak,Plonsk,Starsza,43,145
Amelia,Nijak,Bydgoszcz,Starsza,17,35
Jan,Nowak,Warszawa,Nowsza,74,116
Jan,Abac,Warszawa,Nowa,74,48
Bartek,Nowak,Bydgoszcz,Stara,76,27
Kamil,Jakios,Chelmno,Nowsza,81,32
Amelia,Nijak,Plonsk,Starsza,20,110
Kamil,Jakios,Plonsk,Stara,75,106
Bartek,Nowak,Bydgoszcz,Stara,2,127
Kamil,Jakios,Chelmno,Nowsza,96,122
